Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,294.47,13.49,▲,78.46,47.41
DoDEA,292.13,11.14,▲,82.55,41.30
New Jersey,291.82,10.84,▲,75.87,44.09
Minnesota,290.79,9.80,▲,77.07,44.16
Wisconsin,288.66,7.67,▲,75.50,41.31
New Hampshire,287.22,6.24,▲,76.51,38.48
South Dakota,287.09,6.10,▲,76.27,39.44
Virginia,287.06,6.07,▲,74.53,37.80
Vermont,286.60,5.62,▲,74.65,38.33
Wyoming,286.31,5.33,▲,76.42,37.14
Connecticut,286.16,5.17,▲,71.74,39.23
Idaho,285.94,4.96,▲,73.95,37.34
Washington,285.81,4.82,▲,71.55,40.03
Ohio,285.71,4.73,▲,73.31,37.52
Indiana,285.65,4.66,▲,73.38,37.40
North Dakota,285.56,4.58,▲,75.37,37.35
Pennsylvania,285.02,4.04,▲,70.49,38.61
Nebraska,285.01,4.03,▲,74.15,36.87
Utah,284.93,3.94,▲,72.40,37.34
Colorado,284.67,3.68,▲,72.52,36.94
Montana,283.96,2.97,▲,72.93,35.67
North Carolina,283.66,2.67,▲,70.69,36.51
Illinois,282.56,1.58,♦,69.46,33.84
Maine,282.37,1.38,♦,71.09,33.60
Kansas,282.21,1.23,♦,70.56,32.88
Iowa,281.67,0.68,♦,71.60,32.55
National public,280.99,†,,68.04,32.90
Missouri,280.76,-0.22,♦,69.59,31.58
New York,280.41,-0.58,♦,65.89,33.52
Michigan,280.28,-0.70,♦,68.07,30.99
Maryland,280.15,-0.84,♦,65.02,32.59
Tennessee,280.08,-0.91,♦,67.84,31.15
Arizona,279.93,-1.05,♦,67.72,31.01
Texas,279.65,-1.34,♦,67.96,29.55
Oregon,279.50,-1.49,♦,66.95,31.39
Georgia,279.49,-1.49,♦,66.87,31.14
Florida,278.52,-2.46,♦,65.73,30.64
Kentucky,278.10,-2.89,▼,67.31,29.01
Delaware,276.70,-4.28,▼,65.23,29.22
Oklahoma,276.47,-4.52,▼,66.23,25.51
South Carolina,276.35,-4.64,▼,63.69,28.90
Rhode Island,275.67,-5.31,▼,63.82,29.49
California,275.61,-5.38,▼,60.96,28.51
Hawaii,275.33,-5.65,▼,64.58,27.66
Arkansas,274.36,-6.62,▼,63.04,27.31
Alaska,274.34,-6.65,▼,63.08,29.04
Nevada,273.79,-7.20,▼,61.50,25.70
Mississippi,273.73,-7.26,▼,62.19,24.33
West Virginia,272.35,-8.64,▼,61.52,24.13
Louisiana,271.64,-9.34,▼,60.76,23.07
District of Columbia,269.18,-11.81,▼,55.35,23.02
New Mexico,268.77,-12.22,▼,56.19,20.74
Alabama,268.70,-12.28,▼,57.22,21.28
Puerto Rico,221.59,-59.40,▼,8.68,0.54
